country,province,region,municipality,name,website,medium,originalContent,releaseFrequency,commercialPublisher,publisher,individualOrOrganisation,contentType,contentArea,contentQuality
Nederland,Noord-Brabant,West-Brabant,West-Brabant,Zuidwestupdate,https://www.zuidwestupdate.nl/,Nieuwssite,YES,DAILY,NO,ZuidWest,ORGANIZATION,MIX,West-Brabant,HIGH
Nederland,Noord-Brabant,West-Brabant,West-Brabant,Internetbode,https://www.internetbode.nl/,Nieuwssite,YES,DAILY,YES,Uitgeverij de Bode,ORGANIZATION,JOURNALISM,West-Brabant,MEDIUM
Nederland,Noord-Brabant,West-Brabant,West-Brabant,Weekblad 't Carillon,https://www.uitgeverijemdejong.nl/weekbladen/weekblad-t-carillon/,Krant,YES,WEEKLY,YES,Uitgeverij Em. de Jong,ORGANIZATION,JOURNALISM,Noord West-Brabant,LOW
Nederland,Noord-Brabant,West-Brabant,West-Brabant,Bibliotheek West-Brabant,https://bibliotheekwb.op-shop.nl/,Bibliotheek,YES,WEEKLY,NO,De Bibliotheek West-Brabant,ORGANIZATION,SERVICE,West-Brabant,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Breda,Gemeente Breda,https://www.breda.nl/nieuws,Gemeentesite,YES,DAILY,NO,Gemeente,ORGANIZATION,SERVICE,Breda,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Breda,BredaVandaag,https://www.bredavandaag.nl/,Nieuwssite / krant,YES,DAILY,YES,Uitgeverij de Bode,ORGANIZATION,JOURNALISM,Breda,HIGH
Nederland,Noord-Brabant,West-Brabant,Breda,Indebuurt Breda,https://indebuurt.nl/breda/,Nieuwssite,YES,DAILY,YES,DPG,ORGANIZATION,MIX,Breda,HIGH
Nederland,Noord-Brabant,West-Brabant,Breda,Nieuws vandaag,https://nieuwsvandaag.nl/regio/,Nieuwssite,YES,WEEKLY,UNSURE,Nieuws Vandaag,ORGANIZATION,JOURNALISM,Breda,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Breda,Lokaal nieuws Breda,https://lokaalnieuwsbreda.nl/,Nieuwssite,NO,DAILY,UNSURE,Lokaal Nieuws Breda,ORGANIZATION,JOURNALISM,Breda,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Breda,BredaNu,https://bredanu.nl/,Nieuwssite,YES,DAILY,NO,BredaNu,ORGANIZATION,JOURNALISM,Breda,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Breda,Bibliotheek Breda,https://www.bibliotheekbreda.nl/iguana/www.main.cls?v=f774724f-7c02-488e-9dd7-4c99e3bba4bf,Bibliotheek,YES,UNSURE,NO,Bibliotheek Breda Nieuwe Veste,ORGANIZATION,SERVICE,Breda,LOW
Nederland,Noord-Brabant,West-Brabant,Breda,Wijk Boeimeer Breda,https://wijkraadboeimeer.nl/nieuws/,Nieuwssite / krant,YES,UNSURE,NO,Stichting Wijkraad Boeimeer,ORGANIZATION,MIX,Wijk Boeimeer,LOW
Nederland,Noord-Brabant,West-Brabant,Breda,Wijkraad Zandberg-Oost Breda,https://www.zandbergbreda.nl/,Nieuwssite / krant,YES,UNSURE,NO,Stichting Wijkraad Zandberg-Oost ,ORGANIZATION,MIX,Wijk Zandberg-Oost,LOW
Nederland,Noord-Brabant,West-Brabant,Breda,Wijkblad Princenhage,https://wijkbladprincenhage.net/,Nieuwssite,YES,DAILY,NO,Stichting Wijkblad Princenhage,ORGANIZATION,MIX,Wijk Princenhage,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Breda,Krant De Nieuwe Meidoorn,https://www.denieuwemeidoorn.com/kopie-van-home-1,Krant,YES,UNSURE,NO,Stichting De Nieuwe Meidoorn,ORGANIZATION,MIX,Wijk Tuinzigt Westerpark,LOW
Nederland,Noord-Brabant,West-Brabant,Breda,Wijkraad Westerpark,https://www.wijkraadwesterpark.nl/,Nieuwssite,YES,UNSURE,NO,Wijkraad,ORGANIZATION,MIX,Wijk Westerpark,LOW
